Discount, Price After Discount
0.060000000000000005,1878.1951999999999
0.025,559.99125
0.07500000000000001,792.1237500000001
0.035,2435.2740000000003
0.07500000000000001,2550.632
0.060000000000000005,1858.7184
0.05,479.79750000000007
0.025,15.502499999999998
0.0,1148.6499999999999
0.060000000000000005,1018.4148
0.05,181.773
0.05,42.22749999999999
0.08499999999999999,1978.12935
0.07500000000000001,664.9455
0.175,751.7895
0.15000000000000002,1733.8555
0.0,427.88
0.025,957.06
0.05,621.9269999999999
0.025,376.00875
0.05,1394.163
0.1,109.944
0.16,583.5060000000001
0.025,134.589
0.165,1704.17655
0.07500000000000001,1785.6107500000003
0.05,1280.22
0.060000000000000005,1164.3968
0.175,2911.9199999999996
0.0,740.91
0.05,158.289
0.060000000000000005,614.8728
0.12000000000000001,1250.8496
0.060000000000000005,1113.2420000000002
0.025,361.61775
0.035,1566.8898
0.05,768.5025
0.15000000000000002,3018.5625
0.035,86.5605
0.05,304.266
0.075,111.4255
0.085,1352.0955000000001
0.060000000000000005,1169.642
0.07500000000000001,3477.112
0.0,50.14
0.060000000000000005,865.6648
0.14500000000000002,2802.90375
0.13,854.6445
0.060000000000000005,1734.2623999999996
0.035,1891.1298
0.025,169.87425
0.125,920.7624999999999
0.060000000000000005,2166.794
0.125,2280.3375000000005
0.07500000000000001,943.5
0.025,627.1199999999999
0.13,221.8587
0.025,562.17525
0.025,1702.5255
0.04,251.5584
0.025,574.9965
0.07500000000000001,1455.0342500000002
0.15000000000000002,3011.856
0.035,2931.6410499999997
0.05,616.1129999999999
0.17,2685.5230999999994
0.105,428.7766
0.0,106.59
0.0,526.8
0.155,32.8705
0.135,1681.5773
0.05,688.275
0.025,938.535
0.07500000000000001,463.73025
0.175,2519.1787499999996
0.0,128.04
0.1,350.658
0.035,2140.6595
0.07500000000000001,1501.46
0.025,230.65574999999998
0.035,757.5925500000001
0.1,2848.8599999999997
0.05,2038.662
0.16,56.4228
0.035,1284.23165
0.155,124.9248
0.085,1879.959
0.060000000000000005,112.93159999999999
0.025,12.528749999999999
0.035,854.4110000000001
0.060000000000000005,855.3624
0.05,1953.2474999999997
0.035,398.738
0.08,657.6528000000001
0.05,1809.2559999999999
0.05,1313.052
0.055,116.7642
0.05,1121.1615
0.07500000000000001,1086.6345000000001
0.07500000000000001,1905.7127500000001
0.025,140.42925
0.025,408.2715
0.030000000000000002,1005.9287999999999
0.05,285.228
0.15000000000000002,888.1139999999999
0.025,1913.0279999999998
0.05,929.328
0.12,70.85759999999999
0.05,291.23199999999997
0.025,146.5815
0.07500000000000001,226.85625000000005
0.025,870.012
0.0,575.84
0.060000000000000005,538.9960000000001
0.05,2884.8745
0.0,239.92
0.135,178.75225
0.085,488.1708
0.060000000000000005,961.4319999999999
0.07500000000000001,2366.14075
0.035,949.6564999999999
0.16,419.6136
0.0,632.5
0.060000000000000005,2880.7239999999997
0.07500000000000001,3144.0750000000003
0.0,335.76
0.060000000000000005,1326.9792
0.060000000000000005,189.39119999999997
0.025,131.2545
0.145,428.84235
0.025,609.8625
0.035,1365.5136
0.035,2998.0040999999997
0.05,439.603
0.05,1364.808
0.025,231.77699999999996
0.05,1699.3125
0.1,2313.7920000000004
0.1,2243.484
0.07,2537.8118999999997
0.1,407.02500000000003
0.025,452.54625
0.11,658.4486999999999
0.07500000000000001,1593.2569999999998
0.025,510.6465
0.02,165.0712
0.0,26.95
0.05,1415.196
0.11,2237.46
0.045000000000000005,2473.2972
0.060000000000000005,2808.72
0.025,270.504
0.0,229.1
0.05,206.03599999999997
0.16999999999999998,581.3984
0.035,843.6995000000001
0.0,35.76
0.09,112.62160000000002
0.060000000000000005,892.53
0.025,1108.926
0.05,1524.712
0.02,352.09439999999995
